"","model","param.type","tau0.value","J","tau0.neff.per.sec","tau0.neff","time"
"1",1,"cp",0.001,5,860.98706898085,529.29395312365,0.6147525
"2",2,"cp",0.001,5,352.164664591805,446.30136087801,1.26730875
"3",3,"cp",0.001,5,1040.12216241112,997.373401566567,0.95890025
"4",4,"cp",0.001,5,98.3745084634744,251.412411140441,2.55566625
"5",1,"ncp",0.001,5,496.840461912511,560.104027398639,1.12733175
"6",2,"ncp",0.001,5,181.255176460079,318.381605148834,1.756538
"7",3,"ncp",0.001,5,397.539854446012,747.006009373576,1.879072
"8",4,"ncp",0.001,5,210.589245768712,609.872457539695,2.8960285
"9",1,"cp",0.01,5,1014.79999595914,727.600180602746,0.71698875
"10",2,"cp",0.01,5,784.460665151856,670.469116977309,0.854688
"11",3,"cp",0.01,5,974.324853401441,750.299557764915,0.77007125
"12",4,"cp",0.01,5,493.661130332845,622.628372818345,1.2612465
"13",1,"ncp",0.01,5,451.228304885015,524.636607279386,1.1626855
"14",2,"ncp",0.01,5,120.089276414836,228.072202762696,1.89918875
"15",3,"ncp",0.01,5,338.537161289119,589.534621703485,1.74141775
"16",4,"ncp",0.01,5,167.893424149359,545.857325182267,3.25121325
"17",1,"cp",0.1,5,3420.0914027495,1076.24633293712,0.3146835
"18",2,"cp",0.1,5,1727.82935303731,728.276184689184,0.42149775
"19",3,"cp",0.1,5,3097.53297516449,1398.68559425282,0.45154825
"20",4,"cp",0.1,5,1124.96601221321,703.867609555547,0.625679
"21",1,"ncp",0.1,5,154.591387028621,482.631334419155,3.12198075
"22",2,"ncp",0.1,5,45.16631853743,367.213653245794,8.13025425
"23",3,"ncp",0.1,5,89.4942271591823,476.774588571551,5.327434
"24",4,"ncp",0.1,5,26.4032602097994,365.360591829592,13.8377075
"25",1,"cp",1,5,6531.62354047285,2065.66840022755,0.3162565
"26",2,"cp",1,5,7272.85621866264,3060.23243897966,0.4207745
"27",3,"cp",1,5,5574.25961810023,2489.64550888115,0.4466325
"28",4,"cp",1,5,4654.37589748075,2801.20238967353,0.60184275
"29",1,"ncp",1,5,23.6767317567074,291.465622907298,12.3102135
"30",2,"ncp",1,5,23.8555315532081,418.84316126801,17.557486
"31",3,"ncp",1,5,11.6421507775104,278.257185899689,23.90084025
"32",4,"ncp",1,5,7.35568146829872,219.496743930074,29.84043625
"33",1,"cp",10,5,9128.03807279649,2886.49101947489,0.3162225
"34",2,"cp",10,5,6761.04631709785,2798.70469825423,0.4139455
"35",3,"cp",10,5,5487.68658936565,2364.69765630191,0.43090975
"36",4,"cp",10,5,5938.25060456991,3175.54483155041,0.534761
"37",1,"ncp",10,5,0.367263778716429,6.18858867846293,16.85052825
"38",2,"ncp",10,5,0.989650398845912,21.342710195912,21.56590875
"39",3,"ncp",10,5,0.848924250154442,24.4935971146721,28.852512
"40",4,"ncp",10,5,0.752982780524583,26.8131987623274,35.609312
"41",1,"cp",0.001,15,150.592094760174,272.465862921322,1.80929725
"42",2,"cp",0.001,15,65.7318630012688,252.282242523883,3.838051
"43",3,"cp",0.001,15,48.4440877785686,236.531141002084,4.8825595
"44",4,"cp",0.001,15,26.0998827014755,192.533118814473,7.376781
"45",1,"ncp",0.001,15,665.707957194258,2124.75939250767,3.191729
"46",2,"ncp",0.001,15,586.196266550316,1990.14174725379,3.39500925
"47",3,"ncp",0.001,15,380.531358687523,2193.67395309712,5.76476525
"48",4,"ncp",0.001,15,359.64943548818,2122.03812561317,5.900296
"49",1,"cp",0.01,15,265.05428783897,331.89972022409,1.25219525
"50",2,"cp",0.01,15,371.157123101664,432.499745465169,1.165274
"51",3,"cp",0.01,15,126.731298376388,340.383285444996,2.685866
"52",4,"cp",0.01,15,234.130241342595,549.435076270356,2.346707
"53",1,"ncp",0.01,15,356.089699611289,1203.00195727397,3.37836775
"54",2,"ncp",0.01,15,264.668386362,986.954301615495,3.72902225
"55",3,"ncp",0.01,15,205.587713582243,1275.13014194638,6.2023655
"56",4,"ncp",0.01,15,200.612247086118,1222.64508180527,6.0945685
"57",1,"cp",0.1,15,7411.17818742036,4000,0.53972525
"58",2,"cp",0.1,15,4228.44565421244,2625.8161241409,0.6209885
"59",3,"cp",0.1,15,4260.59503470255,4000,0.938836
"60",4,"cp",0.1,15,2986.62356347423,3067.51327606736,1.027084
"61",1,"ncp",0.1,15,94.8034207469927,339.262691955256,3.57859125
"62",2,"ncp",0.1,15,89.381752776052,621.326506266954,6.95137975
"63",3,"ncp",0.1,15,55.5923864501498,433.474378538611,7.7973695
"64",4,"ncp",0.1,15,45.3744612588386,651.058678959195,14.348571
"65",1,"cp",1,15,7295.8617871943,4000,0.548256
"66",2,"cp",1,15,4011.02464050719,2703.44364353193,0.67400325
"67",3,"cp",1,15,4117.49583167883,4000,0.97146425
"68",4,"cp",1,15,3586.15984366136,4000,1.11539925
"69",1,"ncp",1,15,7.86692067630681,105.492367671163,13.40961375
"70",2,"ncp",1,15,10.9877934240108,234.915628177183,21.379691
"71",3,"ncp",1,15,7.8943604279363,222.619698996545,28.19983975
"72",4,"ncp",1,15,3.44662769358887,153.724130034451,44.60131575
"73",1,"cp",10,15,6267.86832148837,4000,0.6381755
"74",2,"cp",10,15,5411.85209137642,4000,0.7391185
"75",3,"cp",10,15,4018.44062402364,4000,0.995411
"76",4,"cp",10,15,3347.15779234024,4000,1.19504375
"77",1,"ncp",10,15,0.199158087634399,4.65239615983238,23.3603175
"78",2,"ncp",10,15,0.084465340648239,2.74415346551409,32.48851475
"79",3,"ncp",10,15,0.194880159152148,9.92046570555456,50.905468
"80",4,"ncp",10,15,0.282120163526192,17.9406456716125,63.5922135
"81",1,"cp",0.001,30,1.95682432106429,9.92292160044497,5.07093125
"82",2,"cp",0.001,30,9.49719979508034,74.6777261218899,7.863131
"83",3,"cp",0.001,30,2.00594879290385,19.9662514291443,9.95352
"84",4,"cp",0.001,30,9.36112568072185,76.2454840431026,8.1449055
"85",1,"ncp",0.001,30,312.253688910549,2087.61903139166,6.6856505
"86",2,"ncp",0.001,30,308.90043827656,2152.43725128802,6.9680615
"87",3,"ncp",0.001,30,154.115740089662,2017.36317086169,13.089923
"88",4,"ncp",0.001,30,121.704819074706,1630.18670020155,13.3945945
"89",1,"cp",0.01,30,32.2657007233172,95.2301184143236,2.951435
"90",2,"cp",0.01,30,47.5655927306613,235.390464853824,4.948755
"91",3,"cp",0.01,30,28.3284694795285,200.465167819226,7.076456
"92",4,"cp",0.01,30,47.4251327298033,354.290449985783,7.470521
"93",1,"ncp",0.01,30,116.845034091516,795.067214618065,6.80445875
"94",2,"ncp",0.01,30,152.394427423931,1145.23254011436,7.514924
"95",3,"ncp",0.01,30,92.4300202739158,1213.3649469511,13.12739025
"96",4,"ncp",0.01,30,77.7825922569865,1066.87925843751,13.71617
"97",1,"cp",0.1,30,2716.61622173088,3657.12030331305,1.34620425
"98",2,"cp",0.1,30,2642.37382441652,3286.40884494995,1.2437335
"99",3,"cp",0.1,30,1417.64819606925,4000,2.8215745
"100",4,"cp",0.1,30,1168.07811872842,4000,3.4244285
"101",1,"ncp",0.1,30,31.6421009200375,207.795923331052,6.567071
"102",2,"ncp",0.1,30,25.8675737839777,235.696983560166,9.11167725
"103",3,"ncp",0.1,30,10.2948153271387,136.669863225482,13.27560125
"104",4,"ncp",0.1,30,15.4855069454719,293.830552911842,18.97455175
"105",1,"cp",1,30,2934.01372504696,3457.14690521597,1.1782995
"106",2,"cp",1,30,2939.13096510407,4000,1.3609465
"107",3,"cp",1,30,1393.41446198744,4000,2.87064625
"108",4,"cp",1,30,1042.1069929872,3648.60859066164,3.50118425
"109",1,"ncp",1,30,3.97685354940626,62.897822281351,15.8159765
"110",2,"ncp",1,30,4.59766106988524,111.248023312605,24.196656
"111",3,"ncp",1,30,1.75291278710576,54.2394495747237,30.942469
